Counts,of hosts dublicates when FLD's collected by get_tld on pyhton

10,0-0-0-0-0-0-0-0-0-0-0-0-0-18-0-0-0-0-0-0-0-0-0-0-0-0-0.info
10,000space.com
10,247realmedia.co.kr
10,256bit-ssl-checkout.com
10,2amail.top
10,2leep.com
10,2mdnsys.com
10,34-125-63-178.plesk.page
10,394509.com
10,6600.org
10,a4.tl
10,aa.am
10,ab1n.net
10,ablida.net
10,abmr.net
10,about-tabs.com
10,a-calc.de
10,accio.ai
10,acexedge.com
10,ackng.com
10,ad120m.com
10,ad2games.com
10,adalso.com
10,adbroker.de
10,adbutler.de
10,adc-serv.net
10,addme.com
10,adexit.com
10,adhub.ru
10,adip.ly
10,ad-link.jp
10,ad-lister.co.uk
10,adloox.com
10,admaym.com
10,adotsolution.com
10,adpnut.com
10,adrevservice.com
10,adrunnr.com
10,ads2live.com
10,adsage.cn
10,adscreendirect.com
10,adserver01.de
10,adshuffle.com
10,adsota.com
10,ads-pixiv.net
10,adstanding.com
10,ad-tech.com
10,adtiger.de
10,adtomafusion.net
10,adultsmartlink.ga
10,advplace.com
10,adxvip.com
10,adzones.com
10,afi-b.com
10,agentanalytics.com
10,ahdaaf.org
10,ajaxcdn.org
10,akamaitech.net
10,alexametrics.com
10,amigos.com
10,amplitude.com
10,analytics-egain.com
10,andr.net
10,aonunited.com
10,apester.com
10,apicit.net
10,appsgeyser.com
10,areametrics.com
10,arvixe.com
10,aspservice.jp
10,atatus.com
10,atelierasmeninas.com
10,audionews.fm
10,auditionsuite.com
10,auth-google.site
10,ayboll.com
10,azoogleads.com
10,babator.com
10,background.pt
10,bannerbridge.net
10,bannerspace.com
10,bemobpath.com
10,bemobtracks.com
10,beringmedia.com
10,berush.com
10,bestshopping-voucher.com
10,bigbosspl.site
10,bilsyndication.com
10,bl2ogi-finansowe.xyz
10,blamper.ru
10,blindamorares.com
10,blog-finanse.xyz
10,blogi-zfinansowe.xyz
10,bm324.com
10,bnhtml.com
10,byethost14.com
10,byethost8.com
10,byzoo.org
10,c1exchange.com
10,capitalredf.site
10,ca.tt
10,cellularhealth.technology
10,china.com
10,cleansite.us
10,clickaine.com
10,clickferret.com
10,clickfinders.com
10,clickfuse.com
10,coincheck.com
10,comclick.com
10,comeadvertisewithus.com
10,conceptimagine.ro
10,consensad.com
10,cookiescript.info
10,copperegg.com
10,coremetrics.com
10,coronavirusmythsandfacts.com
10,countby.com
10,covidharsh.com
10,cpmterra.com
10,cprapid.com
10,cracksweb.com
10,crashlytics.com
10,crazywinnings.com
10,crowdynews.com
10,crystalbluesales.com
10,csheaven.com
10,ctmconnect.com
10,cuntwars.com
10,d2c.ne.jp
10,dailymail.co.uk
10,dashet.com
10,datado.me
10,datasphere.com
10,d-bi.fr
10,ddns.ms
10,deliverimp.com
10,dienai.ru
10,disqus.com
10,dmm.com
10,dnr.kz
10,dns1.us
10,doctorpix.com
10,dojomojo.com
10,donreach.com
10,dopa.com
10,dotcomsecrets.com
10,downescorporateservices.com
10,dpmsrv.com
10,drv.tw
10,dupinpu.com
10,easy-ads.com
10,economicoutlook.net
10,e-generator.com
10,elegance.bg
10,enc-tech.com
10,espmp-nifr.net
10,etrality.com
10,exi8ef83z9.com
10,exmarketplace.com
10,eyeota.net
10,f321y.com
10,f9.co.uk
10,faibl.org
10,fastnewbiecash.com
10,fast-thinking.co.uk
10,feraciumus.com
10,fessmegilscha.info
10,fileburst.com
10,finansowy-blog.xyz
10,find-ip-address.org
10,firrectly.top
10,flixsyndication.net
10,flonto.com
10,flymyads.com
10,fodlkf9d1p.com
10,forbes.com
10,free-counter.co.uk
10,freehost.pl
10,freeskreen.com
10,fr.gd
10,front.ru
10,fwt0.com
10,gameads.io
10,gclick.cn
10,g-content.bid
10,getgiftcards.org
10,giftether.top
10,gigcount.com
10,gingerandcoblog.com
10,glasgro.com
10,globo.com
10,glossom.jp
10,gnway.net
10,goldspotmedia.com
10,gostats.ru
10,gqqdlckj8y.com
10,greatarcadehits.com
10,grupodemarca.com
10,gtavfreemoney.co
10,gxwztv.com
10,h12-media.com
10,hagebakken.no
10,he7ll.com
10,health-line.me
10,heima8.com
10,helltraffic.com
10,hihanin.com
10,hindustanfiltech.com
10,hoptopboy.com
10,hostfleek.com
10,hotplugins.com
10,hxy21jc-p.cn
10,hybridrastamama.com
10,hyperadx.com
10,i2iserv.com
10,ia-planet.com
10,iaudienc.com
10,iciba.com
10,id-43895.me
10,ifincloud.in
10,ijrah.top
10,income88.com
10,inewcontentdelivery.info
10,innity.net
10,intuit.com
10,iqdata.ai
10,irs01.com
10,ivertiipolska.com.pl
10,ixigua.com
10,jelikob.ru
10,juicer.cc
10,kantartns.lt
10,kiwihk.net
10,kovo.vn
10,kuaishou.com
10,labtop.pe
10,lamusa.com.au
10,lefora.com
10,linezing.com
10,linkwi.se
